EDAD;GENERO;ESTRATO_VIVIENDA;NIVEL_EDUCATIVO;TIPO_AREA_VIVIENDA;SEGMENTO_PLAN;MIN_LLAMADAS_SEM;MIN_REDES_SOC_SEM;MIN_WEB_SEM;DIAS_PAGO_FACT;VECES_LLAM_COMPETENCIA;MESES_SUSCRITO;NUM_INTERRUPCIONES;DUR_INTERRUPCIONES;SUSCRIP_STREAMING;RIESGO_CANCELACION
70;hombre;2;secundaria;urbana;medio;240;930;1341;33;79;72;8;61;si;no
53;mujer;5;secundaria;rural;premium;498;510;558;55;26;6;8;275;no;no
61;hombre;3;educacion superior;rural;medio;323;1791;429;20;128;107;5;458;no;si
35;hombre;1;primaria;urbana;premium;310;720;43;47;267;65;9;60;no;no
44;mujer;4;secundaria;urbana;medio;456;876;894;10;187;2;1;221;no;no
23;hombre;4;educacion superior;urbana;premium;820;487;879;15;78;84;10;143;no;si
46;hombre;3;primaria;urbana;premium;598;1018;268;33;245;13;8;55;no;si
64;mujer;1;primaria;urbana;basico;461;650;1168;58;90;92;8;189;no;si
65;mujer;4;secundaria;urbana;medio;513;1674;214;31;196;87;10;183;no;si
52;hombre;2;primaria;rural;premium;461;1170;1202;28;125;74;8;67;no;si
68;hombre;5;primaria;urbana;basico;346;1377;1319;28;59;44;8;175;no;si
24;hombre;3;educacion superior;urbana;basico;414;1422;1303;41;247;2;10;402;no;si
21;hombre;5;secundaria;rural;medio;501;1948;278;31;174;82;4;266;no;si
67;mujer;6;secundaria;rural;medio;125;1433;1347;58;267;69;8;9;si;no
79;mujer;4;educacion superior;urbana;medio;161;714;1016;30;194;42;3;208;no;no
61;hombre;1;educacion superior;rural;premium;554;574;711;2;75;93;8;163;si;no
22;hombre;2;secundaria;rural;premium;937;653;304;6;281;31;4;141;no;no
41;mujer;6;primaria;urbana;basico;525;1012;789;5;149;69;9;274;no;no
53;mujer;1;primaria;rural;premium;199;1942;960;21;97;120;7;241;no;no
72;hombre;5;secundaria;urbana;premium;640;1974;365;18;276;110;10;90;no;si
55;hombre;6;primaria;urbana;medio;816;41;203;20;94;19;3;291;no;si
39;hombre;3;educacion superior;urbana;basico;974;405;1163;42;79;28;6;290;no;si
74;hombre;5;educacion superior;rural;medio;407;535;472;32;221;110;9;134;no;no
56;hombre;2;educacion superior;urbana;medio;78;944;313;22;100;57;8;148;no;si
63;hombre;3;secundaria;urbana;premium;33;887;998;20;277;13;8;91;no;si
74;hombre;5;primaria;rural;premium;784;1481;918;0;112;62;4;65;no;no
30;hombre;5;secundaria;urbana;premium;259;996;163;53;73;38;6;78;no;si
43;hombre;3;educacion superior;urbana;basico;74;901;728;57;284;98;7;371;no;si
42;hombre;6;secundaria;rural;medio;411;972;347;46;75;31;10;342;si;no
64;mujer;5;secundaria;rural;premium;933;37;723;36;290;35;3;226;no;no
28;mujer;5;educacion superior;rural;medio;795;956;40;21;52;64;9;252;no;no
32;hombre;1;educacion superior;urbana;basico;758;1987;1351;59;176;118;3;349;no;no
80;mujer;5;educacion superior;rural;medio;566;799;1327;42;156;41;7;317;no;si
64;mujer;3;educacion superior;urbana;medio;724;571;1396;34;97;87;7;59;no;si
53;mujer;5;primaria;urbana;medio;866;402;413;36;102;77;9;335;no;si
37;mujer;3;primaria;rural;basico;689;1744;1489;58;191;90;6;353;si;no
45;mujer;5;secundaria;urbana;medio;545;893;1284;56;113;120;5;150;no;si
44;hombre;3;educacion superior;rural;premium;52;820;253;52;251;4;10;328;no;si
40;hombre;2;primaria;urbana;premium;778;452;991;23;242;10;8;283;no;si
64;mujer;3;educacion superior;urbana;medio;913;274;946;33;127;62;4;310;no;si
39;hombre;4;secundaria;rural;basico;751;343;676;8;266;52;1;252;no;no
16;mujer;1;primaria;rural;basico;334;639;385;59;65;48;4;440;no;no
58;mujer;6;educacion superior;rural;basico;361;1506;1221;22;173;12;0;158;no;no
76;hombre;1;secundaria;rural;premium;185;1775;553;59;293;75;6;204;no;si
57;mujer;4;educacion superior;rural;premium;244;647;68;33;231;25;9;499;no;si
46;hombre;3;secundaria;urbana;basico;405;1199;90;18;151;93;8;167;no;si
74;hombre;3;primaria;rural;medio;846;1719;86;35;177;9;3;492;no;si
27;hombre;4;educacion superior;urbana;medio;965;800;1285;43;62;104;4;221;no;si
39;mujer;3;primaria;rural;medio;850;301;688;17;64;60;8;437;no;si
39;mujer;6;secundaria;urbana;premium;265;121;375;36;144;100;1;388;si;no
78;hombre;3;educacion superior;urbana;basico;515;291;188;45;58;69;6;355;si;no
56;hombre;4;secundaria;rural;medio;307;528;1362;12;139;5;9;324;si;no
51;hombre;4;secundaria;urbana;basico;319;1216;251;26;280;73;9;50;no;si
67;hombre;4;educacion superior;rural;basico;366;1904;14;54;168;17;8;394;no;no
68;hombre;5;secundaria;urbana;premium;514;555;1095;20;170;57;8;469;no;si
77;hombre;1;primaria;rural;medio;184;623;596;19;145;110;6;235;si;no
31;hombre;2;educacion superior;urbana;basico;551;747;455;16;197;12;4;357;no;si
20;hombre;1;secundaria;rural;premium;539;613;551;43;193;117;7;479;no;si
64;hombre;4;secundaria;urbana;basico;934;1973;353;24;103;101;5;277;no;si
52;hombre;4;primaria;urbana;premium;198;1637;304;31;204;34;3;150;no;no
37;hombre;5;educacion superior;rural;medio;977;1562;119;35;58;58;4;85;no;si
21;hombre;2;secundaria;urbana;basico;209;1388;1153;59;98;22;2;286;no;no
50;hombre;4;educacion superior;rural;basico;750;601;530;33;222;19;9;282;si;no
28;hombre;6;primaria;urbana;premium;328;16;940;40;139;38;4;114;no;si
47;hombre;4;secundaria;rural;basico;185;1768;916;50;95;107;3;103;no;si
57;mujer;2;educacion superior;rural;premium;795;1217;1016;18;136;35;0;238;si;no
21;hombre;3;primaria;rural;premium;100;1355;295;2;42;112;5;403;no;no
51;mujer;4;educacion superior;urbana;medio;301;623;543;60;177;38;10;89;no;si
58;hombre;6;secundaria;urbana;medio;537;71;168;39;297;79;4;100;no;si
57;mujer;2;educacion superior;urbana;premium;650;875;1468;42;166;49;0;345;no;no
43;hombre;2;primaria;rural;premium;687;808;1375;34;82;33;2;186;no;no
19;mujer;6;secundaria;urbana;premium;495;1761;57;49;128;44;4;464;no;si
60;mujer;1;educacion superior;urbana;basico;476;1951;588;20;113;34;5;485;no;si
22;hombre;1;primaria;urbana;premium;972;682;295;28;288;44;8;104;no;si
27;hombre;6;primaria;urbana;basico;14;1869;396;51;206;105;10;418;no;si
53;hombre;4;educacion superior;rural;basico;384;1188;408;55;69;60;5;422;no;si
23;hombre;4;secundaria;urbana;premium;659;895;1297;46;291;14;2;489;no;no
69;hombre;5;educacion superior;urbana;basico;726;1468;1097;44;18;60;5;199;no;no
51;hombre;1;secundaria;urbana;basico;495;671;212;17;235;14;3;279;no;si
28;mujer;5;educacion superior;rural;medio;191;1868;55;37;282;46;9;322;no;si
30;mujer;4;secundaria;urbana;medio;54;1869;1016;41;214;59;10;152;no;no
36;hombre;2;educacion superior;urbana;premium;143;356;1251;42;122;36;9;197;no;si
51;hombre;1;secundaria;urbana;premium;719;1023;573;41;216;107;6;284;no;si
77;hombre;3;educacion superior;rural;medio;113;1314;713;1;192;49;4;193;si;no
65;hombre;3;educacion superior;rural;premium;706;1602;1265;46;134;73;8;234;no;si
66;hombre;1;secundaria;rural;medio;224;524;833;59;233;18;1;264;si;no
80;mujer;6;primaria;urbana;basico;565;1235;362;35;106;8;9;121;no;si
45;hombre;4;primaria;rural;premium;471;1637;748;26;255;58;9;343;no;si
23;hombre;5;secundaria;urbana;basico;905;874;94;11;35;102;7;343;si;no
36;mujer;6;primaria;urbana;medio;974;212;734;35;52;119;6;432;no;si
55;hombre;3;secundaria;urbana;basico;391;866;55;34;249;48;7;96;no;si
24;hombre;4;educacion superior;urbana;basico;48;1154;1447;7;23;47;0;347;no;no
61;hombre;1;secundaria;rural;medio;572;1000;710;24;217;16;1;382;si;no
78;hombre;4;primaria;urbana;medio;68;1480;593;31;233;9;7;254;no;si
26;hombre;5;educacion superior;rural;medio;754;845;966;38;119;17;8;234;no;si
23;hombre;6;secundaria;rural;medio;263;1085;1033;42;264;95;9;285;no;si
75;hombre;1;secundaria;rural;basico;489;1209;822;26;126;57;9;333;no;si
22;mujer;3;primaria;urbana;basico;935;1932;1041;26;109;86;3;84;no;si
37;hombre;5;educacion superior;urbana;premium;923;1455;1286;12;36;2;7;495;no;no
36;mujer;5;secundaria;urbana;medio;52;1719;409;22;136;66;5;248;no;si
74;hombre;1;secundaria;rural;premium;33;995;646;38;172;47;4;163;no;no
57;hombre;1;primaria;rural;premium;224;1591;1170;52;249;52;8;245;si;no
66;hombre;1;educacion superior;urbana;basico;98;785;1381;29;199;36;5;215;no;si
59;hombre;6;educacion superior;rural;medio;35;317;350;60;149;108;6;102;no;si
46;hombre;4;primaria;rural;basico;213;1366;433;17;139;40;10;331;no;si
57;hombre;2;secundaria;urbana;medio;918;602;1119;58;51;46;4;378;no;si
26;mujer;3;primaria;urbana;premium;299;1596;741;34;199;74;10;384;no;si
25;mujer;6;secundaria;urbana;basico;183;577;709;41;63;26;5;319;no;si
35;hombre;2;secundaria;rural;basico;964;674;11;19;165;14;10;173;no;si
36;hombre;5;secundaria;rural;premium;143;185;411;57;268;81;8;172;si;no
39;hombre;4;educacion superior;rural;medio;182;676;764;49;73;81;3;400;no;si
21;hombre;4;primaria;rural;premium;423;633;774;18;245;39;10;490;no;si
49;mujer;3;primaria;urbana;medio;546;993;1011;9;77;86;2;192;no;no
30;hombre;5;educacion superior;rural;basico;491;1601;320;57;196;55;8;157;no;si
49;hombre;3;secundaria;rural;medio;883;1044;919;56;182;101;5;448;no;si
45;hombre;5;primaria;urbana;premium;917;1665;429;27;174;70;3;242;no;si
46;hombre;4;secundaria;rural;premium;31;404;1482;9;260;47;10;95;si;no
52;hombre;4;primaria;rural;basico;790;1394;1308;47;103;47;7;373;no;no
65;hombre;3;primaria;rural;basico;989;1855;263;52;130;108;9;468;no;no
66;hombre;2;secundaria;urbana;basico;504;501;255;24;141;63;6;52;no;si
55;hombre;6;educacion superior;urbana;premium;555;403;1264;39;238;67;4;65;no;no
70;mujer;5;secundaria;urbana;premium;713;414;1034;8;112;93;1;297;no;no
38;mujer;6;educacion superior;rural;medio;340;1097;1379;16;300;88;8;138;no;si
76;mujer;5;secundaria;rural;medio;468;472;780;53;113;38;3;178;no;si
25;hombre;1;educacion superior;urbana;basico;878;180;1451;13;206;98;9;264;no;no
23;hombre;1;primaria;rural;basico;412;1846;121;52;297;86;10;162;si;no
39;hombre;5;secundaria;rural;medio;823;1019;1419;46;189;107;2;355;si;no
60;hombre;4;secundaria;urbana;medio;658;1770;118;40;156;120;8;291;no;si
55;hombre;1;educacion superior;rural;basico;127;761;1194;51;61;73;7;404;no;si
38;mujer;6;educacion superior;urbana;basico;882;1467;628;50;169;19;7;460;no;si
67;hombre;2;primaria;rural;premium;884;1158;336;19;106;45;4;490;no;no
21;hombre;6;secundaria;urbana;medio;425;1121;233;23;149;98;0;122;no;no
50;hombre;1;primaria;urbana;medio;213;1642;928;37;191;22;8;285;si;no
71;hombre;4;primaria;rural;basico;355;1728;1052;58;154;17;4;460;no;si
77;mujer;1;secundaria;rural;premium;811;1070;1432;9;99;59;0;477;si;no
59;hombre;2;educacion superior;rural;medio;165;1270;1482;20;17;7;0;9;no;no
53;mujer;4;secundaria;rural;medio;344;1519;980;45;14;110;7;32;si;no
39;hombre;3;educacion superior;rural;medio;904;260;96;26;158;87;7;66;no;si
36;hombre;6;primaria;rural;basico;61;1758;803;31;150;111;8;138;no;si
20;hombre;4;educacion superior;rural;medio;730;1390;850;12;179;98;2;35;no;no
77;hombre;3;educacion superior;rural;medio;632;118;1447;26;199;102;1;296;no;no
46;hombre;3;secundaria;urbana;premium;900;977;1084;56;211;63;9;496;no;si
36;hombre;6;educacion superior;urbana;basico;843;254;1319;56;53;2;9;246;no;si
69;hombre;6;educacion superior;rural;basico;690;1960;723;44;262;24;4;68;no;si
60;hombre;6;educacion superior;rural;medio;338;1546;977;16;72;113;5;55;si;no
66;hombre;1;educacion superior;urbana;medio;996;1056;582;38;167;18;9;303;no;si
26;hombre;6;educacion superior;rural;medio;864;1750;204;37;243;96;8;422;no;si
17;hombre;5;secundaria;rural;basico;346;1647;641;2;219;48;0;476;no;no
77;mujer;2;educacion superior;rural;medio;313;1239;606;16;4;41;5;368;no;no
77;hombre;2;educacion superior;urbana;basico;307;2;823;50;45;20;8;225;si;no
49;mujer;4;secundaria;urbana;basico;646;526;1163;54;76;28;0;144;si;no
80;hombre;2;educacion superior;urbana;premium;440;725;365;27;218;66;4;226;no;si
73;hombre;2;educacion superior;rural;basico;15;1270;169;55;141;108;5;274;no;si
76;hombre;1;educacion superior;rural;medio;881;87;526;13;268;51;9;43;si;no
60;hombre;6;primaria;rural;basico;231;1278;1127;53;294;22;9;201;no;no
21;mujer;2;primaria;rural;medio;0;133;553;52;220;20;5;156;no;no
73;hombre;1;primaria;rural;premium;817;1290;1169;43;273;17;9;462;no;si
80;hombre;1;educacion superior;urbana;medio;389;1246;1488;25;217;87;1;262;no;no
49;mujer;5;secundaria;urbana;premium;871;8;105;53;197;97;6;454;no;si
40;mujer;1;educacion superior;rural;medio;992;996;1143;7;176;18;9;299;no;no
57;mujer;3;educacion superior;urbana;medio;19;528;1357;20;9;1;6;49;si;no
36;hombre;4;secundaria;urbana;basico;770;715;1319;24;128;34;6;443;si;no
40;hombre;6;educacion superior;urbana;premium;189;398;1058;28;62;111;3;138;no;si
21;hombre;2;primaria;urbana;medio;843;1954;600;19;279;97;7;385;si;no
32;hombre;2;secundaria;rural;premium;256;845;972;42;70;10;7;54;si;no
48;mujer;5;secundaria;rural;premium;642;172;312;56;160;71;9;466;no;si
27;hombre;3;secundaria;urbana;medio;533;546;1012;44;233;11;6;370;no;si
24;hombre;3;primaria;urbana;basico;341;804;1132;16;200;118;10;433;no;si
73;hombre;2;secundaria;rural;medio;604;1803;1023;15;211;70;6;56;no;si
27;hombre;4;educacion superior;urbana;premium;724;661;986;51;33;14;10;212;si;no
20;hombre;6;secundaria;rural;medio;716;1575;1332;14;277;69;3;106;no;no
37;mujer;3;educacion superior;urbana;premium;81;1864;347;34;85;53;4;302;no;si
34;hombre;4;educacion superior;rural;medio;260;1165;1456;39;153;78;3;394;no;si
30;mujer;3;secundaria;rural;basico;522;1869;957;18;156;115;9;479;si;no
31;mujer;5;secundaria;rural;premium;727;815;1004;45;208;40;9;70;no;si
75;mujer;1;secundaria;urbana;premium;488;1347;654;0;160;12;5;471;si;no
40;hombre;1;primaria;urbana;basico;648;1241;288;26;50;49;9;82;no;si
68;mujer;2;secundaria;urbana;medio;455;1749;428;56;124;82;5;77;no;no
70;hombre;1;educacion superior;urbana;premium;860;201;207;35;243;10;9;293;no;si
73;hombre;4;secundaria;urbana;premium;156;1372;746;43;147;68;6;348;no;si
24;hombre;4;secundaria;urbana;medio;309;65;1421;48;99;87;8;77;no;si
68;hombre;4;primaria;rural;medio;86;1917;246;0;5;60;10;214;no;no
21;hombre;2;secundaria;urbana;premium;972;885;1297;46;197;81;6;349;no;si
35;mujer;3;educacion superior;rural;premium;452;1288;159;50;68;89;2;155;si;no
43;hombre;4;primaria;rural;medio;310;1948;143;46;167;67;9;128;no;si
38;hombre;1;secundaria;rural;premium;675;721;869;47;115;61;10;222;no;si
29;hombre;6;secundaria;rural;medio;235;1262;683;59;169;40;8;318;no;si
65;mujer;2;primaria;urbana;premium;856;504;1230;37;145;81;4;179;no;si
22;mujer;5;secundaria;urbana;premium;819;615;276;30;23;96;3;430;no;no
36;hombre;2;educacion superior;urbana;premium;552;647;1053;23;215;101;1;105;si;no
51;hombre;2;secundaria;rural;premium;925;814;1473;40;228;96;7;232;no;si
74;mujer;1;secundaria;urbana;basico;152;1637;1136;25;294;84;2;391;si;no
25;hombre;6;educacion superior;urbana;premium;335;1395;235;27;283;49;9;119;no;no
36;hombre;2;educacion superior;rural;basico;632;594;404;22;69;79;0;497;si;no
24;mujer;2;secundaria;rural;basico;882;1197;834;21;114;18;6;233;no;si
59;hombre;3;educacion superior;urbana;premium;433;1756;817;35;152;105;4;428;no;no
71;mujer;5;educacion superior;rural;basico;671;132;358;60;270;53;4;284;si;no
71;hombre;1;primaria;urbana;premium;444;548;57;18;189;36;5;424;no;si
34;mujer;5;secundaria;rural;basico;813;1722;1211;10;59;81;9;308;si;no
38;hombre;2;secundaria;urbana;medio;704;1867;142;15;27;89;7;84;si;no
75;hombre;5;secundaria;rural;medio;540;1697;163;3;265;8;8;100;si;no
54;hombre;1;secundaria;rural;medio;150;427;1041;46;155;56;1;331;no;no
76;hombre;6;primaria;urbana;medio;1000;1277;300;6;238;111;8;58;si;no
19;hombre;5;educacion superior;rural;premium;241;1713;791;31;81;8;6;61;no;no
35;hombre;1;educacion superior;rural;premium;879;1564;299;16;276;7;9;165;no;no
28;mujer;4;educacion superior;rural;premium;877;1350;64;29;200;57;4;349;no;si
78;hombre;5;primaria;urbana;basico;791;1146;1351;46;141;20;6;438;si;no
54;hombre;3;secundaria;urbana;medio;535;1995;405;32;165;59;9;156;no;si
66;hombre;4;educacion superior;urbana;basico;339;143;960;13;289;16;9;129;no;no
20;hombre;3;secundaria;rural;basico;613;1886;1009;19;216;65;5;242;si;no
66;hombre;2;primaria;urbana;premium;643;1087;140;29;275;15;4;325;si;no
44;mujer;2;secundaria;rural;medio;107;1720;502;29;276;37;3;250;no;si
47;mujer;6;primaria;urbana;premium;967;581;352;36;124;103;6;179;no;si
55;mujer;6;educacion superior;rural;premium;654;19;813;23;112;110;6;134;si;no
37;hombre;3;educacion superior;rural;premium;316;1637;1098;27;205;45;4;217;no;si
21;mujer;1;secundaria;rural;premium;916;1424;1471;48;258;112;8;184;no;no
78;hombre;6;primaria;urbana;medio;475;380;1478;16;183;47;3;484;no;si
27;mujer;2;primaria;rural;premium;328;687;239;13;43;12;10;172;no;no
48;hombre;4;primaria;urbana;premium;399;1038;828;40;70;97;0;282;si;no
80;hombre;4;secundaria;urbana;premium;323;1964;102;1;37;38;2;147;si;no
21;hombre;1;educacion superior;urbana;medio;132;955;31;18;186;101;9;290;no;no
57;mujer;2;educacion superior;rural;medio;307;94;753;20;237;46;5;142;si;no
44;hombre;1;secundaria;rural;basico;491;88;1054;56;202;46;10;447;no;no
21;hombre;4;educacion superior;rural;basico;769;1639;575;42;193;7;2;60;no;no
30;mujer;1;educacion superior;urbana;basico;624;1354;118;50;244;2;1;46;no;no
23;mujer;2;primaria;rural;premium;331;1795;626;16;296;74;0;246;no;no
74;hombre;2;primaria;urbana;basico;830;114;822;32;221;5;0;39;si;no
43;hombre;4;secundaria;rural;basico;97;1754;987;11;281;61;1;212;no;no
63;hombre;2;primaria;rural;medio;217;1171;1346;18;55;36;3;317;no;si
63;hombre;6;primaria;rural;basico;904;1078;254;5;134;82;4;371;si;no
80;hombre;6;primaria;rural;premium;813;823;645;47;190;37;8;348;no;no
35;hombre;6;educacion superior;urbana;basico;644;1711;1032;38;227;35;8;179;no;no
56;hombre;6;secundaria;rural;medio;390;1311;309;24;118;85;3;459;no;si
75;hombre;1;secundaria;rural;premium;108;1427;136;40;255;59;8;239;no;no
22;mujer;1;secundaria;rural;medio;837;1828;979;55;223;66;6;379;no;si
77;hombre;6;secundaria;urbana;medio;779;1415;433;35;45;72;1;191;si;no
75;hombre;6;primaria;rural;premium;546;1360;1322;16;34;48;3;315;no;no
19;hombre;4;primaria;rural;medio;121;2000;110;7;63;104;0;402;si;no
48;hombre;6;educacion superior;urbana;basico;182;164;240;20;206;20;10;463;no;si
49;hombre;2;secundaria;urbana;medio;261;73;982;16;218;44;8;169;no;si
36;mujer;1;primaria;rural;medio;889;1402;1131;55;130;26;5;386;no;si
76;hombre;1;secundaria;urbana;medio;130;204;1090;3;45;34;9;10;no;no
79;hombre;2;primaria;urbana;basico;364;1369;1202;54;216;72;10;228;no;si
77;hombre;3;educacion superior;rural;medio;896;1088;1459;27;6;24;2;105;si;no
16;hombre;6;primaria;urbana;basico;608;984;141;59;268;82;2;301;no;no
60;mujer;6;secundaria;urbana;medio;984;863;1418;18;264;109;9;472;no;si
27;hombre;3;educacion superior;urbana;premium;613;558;1360;30;140;117;9;223;si;no
28;hombre;4;educacion superior;urbana;medio;345;1454;1216;21;122;52;4;100;no;si
57;hombre;4;primaria;rural;medio;1000;620;85;23;290;62;9;441;no;si
72;mujer;2;educacion superior;rural;basico;332;1030;263;59;50;118;9;43;si;no
65;hombre;2;secundaria;rural;basico;171;246;314;16;293;55;7;431;no;no
53;mujer;4;educacion superior;rural;basico;930;421;1317;22;53;51;4;454;no;si
46;mujer;6;educacion superior;urbana;medio;179;1223;714;13;236;62;0;482;no;no
64;hombre;6;educacion superior;urbana;medio;669;1114;668;44;194;100;10;268;no;si
59;hombre;5;educacion superior;urbana;premium;412;1923;558;55;56;111;8;497;no;si
70;mujer;6;secundaria;urbana;premium;633;1659;197;6;222;81;7;182;si;no
45;mujer;5;primaria;urbana;premium;781;1224;809;59;266;37;10;53;no;si
72;mujer;1;educacion superior;rural;basico;532;1008;111;23;200;117;9;240;no;no
30;mujer;2;educacion superior;urbana;basico;883;90;604;43;266;106;4;138;no;si
71;hombre;4;educacion superior;rural;medio;28;1268;1459;5;32;5;7;276;no;no
35;mujer;6;primaria;rural;medio;537;22;1332;8;108;27;2;304;no;no
34;hombre;6;primaria;rural;basico;422;982;254;55;288;71;4;145;no;no
73;mujer;4;secundaria;rural;basico;953;1165;1217;25;166;92;5;65;no;si
19;mujer;1;secundaria;urbana;basico;177;925;769;46;189;105;6;426;si;no
62;hombre;2;educacion superior;rural;medio;559;1359;840;49;300;27;7;105;si;no
29;mujer;6;educacion superior;rural;medio;538;1366;410;20;260;15;10;63;no;si
25;hombre;2;primaria;rural;basico;634;1499;28;44;184;48;7;366;no;si
49;hombre;3;educacion superior;rural;basico;722;1639;418;46;183;89;8;129;si;no
50;mujer;3;primaria;urbana;basico;25;602;458;48;248;42;5;413;no;si
48;hombre;1;secundaria;rural;premium;978;747;580;4;207;74;7;127;no;no
17;mujer;5;educacion superior;urbana;medio;117;280;987;20;243;7;5;179;si;no
61;mujer;6;educacion superior;rural;premium;891;1240;723;39;223;87;7;95;no;no
42;hombre;4;primaria;rural;medio;162;963;1365;9;251;116;9;335;no;no
53;hombre;2;educacion superior;rural;basico;186;1555;78;35;222;42;4;77;no;no
35;hombre;2;primaria;rural;premium;522;208;1168;21;153;88;3;403;no;si
28;hombre;1;primaria;urbana;premium;149;550;51;25;214;74;5;228;no;si
16;hombre;3;secundaria;rural;basico;529;660;1076;24;129;49;9;313;no;si
50;hombre;2;primaria;urbana;medio;668;988;1094;26;89;113;0;136;no;no
68;mujer;6;educacion superior;rural;basico;932;1243;1452;43;196;116;4;174;no;si
66;mujer;2;secundaria;urbana;basico;506;1020;773;52;98;8;5;373;no;si
52;hombre;3;secundaria;rural;premium;36;971;512;6;108;36;3;123;no;no
50;mujer;5;secundaria;rural;medio;751;1477;906;37;93;31;5;241;no;si
76;mujer;5;educacion superior;rural;medio;968;1259;600;28;256;29;7;183;no;no
52;hombre;1;primaria;urbana;basico;603;646;1423;38;68;35;5;183;no;si
58;mujer;6;secundaria;rural;premium;660;1948;285;57;105;53;7;7;no;no
16;hombre;4;secundaria;rural;premium;770;20;371;47;81;14;0;303;no;no
35;hombre;6;primaria;urbana;medio;703;507;840;35;49;88;7;148;no;no
74;hombre;3;secundaria;rural;medio;823;1689;1347;59;71;47;7;67;no;si
16;hombre;2;secundaria;rural;medio;884;1615;1020;56;57;1;3;71;no;si
74;mujer;5;educacion superior;urbana;medio;7;820;1180;49;115;120;9;115;no;si
42;hombre;4;educacion superior;rural;premium;132;1758;721;12;109;89;6;373;si;no
49;mujer;3;educacion superior;rural;basico;512;412;539;16;120;115;0;30;si;no
47;hombre;4;secundaria;urbana;basico;588;996;218;48;259;20;7;356;no;no
44;mujer;3;primaria;rural;basico;871;1541;769;10;251;36;6;87;si;no
60;mujer;6;primaria;urbana;medio;724;437;1;22;102;26;9;144;si;no
34;hombre;3;secundaria;urbana;basico;25;689;182;10;255;110;9;278;si;no
55;hombre;1;primaria;rural;basico;834;386;461;15;280;50;3;404;no;no
69;hombre;1;educacion superior;urbana;premium;278;531;642;9;57;50;7;74;no;no
21;hombre;6;educacion superior;rural;medio;495;869;195;46;193;68;5;210;no;si
45;hombre;6;primaria;urbana;basico;291;252;23;48;226;104;10;315;no;no
72;hombre;2;educacion superior;rural;medio;123;119;1204;48;138;5;4;233;no;si
64;mujer;4;secundaria;rural;premium;365;698;253;18;266;80;6;186;no;si
42;hombre;2;primaria;rural;medio;221;1442;498;21;167;117;5;493;no;si
64;mujer;1;primaria;urbana;medio;994;214;1296;32;243;75;5;224;no;si
56;hombre;5;educacion superior;rural;basico;105;461;538;60;21;101;1;9;no;no
30;hombre;3;primaria;rural;medio;925;750;1056;40;71;4;10;374;no;si
17;hombre;6;educacion superior;rural;basico;366;1304;264;24;273;110;1;431;no;no
49;mujer;3;secundaria;urbana;basico;913;316;167;29;134;87;8;117;no;no
75;mujer;5;secundaria;urbana;premium;1;944;1125;48;163;55;4;175;no;si
67;hombre;5;secundaria;urbana;premium;784;249;1424;17;178;90;3;319;no;si
55;hombre;1;educacion superior;rural;basico;319;324;1318;3;135;30;0;6;si;no
19;hombre;3;educacion superior;urbana;basico;221;606;123;38;143;16;4;453;no;si
30;hombre;5;educacion superior;urbana;premium;941;1030;1063;17;169;90;9;485;no;si
44;hombre;4;secundaria;urbana;premium;5;461;614;38;117;65;9;429;no;no
45;mujer;1;primaria;urbana;premium;672;1970;564;10;108;73;7;60;no;no
47;hombre;6;secundaria;urbana;medio;519;1645;1094;44;258;2;3;6;no;no
44;hombre;2;educacion superior;urbana;medio;451;1144;1399;13;144;87;0;491;no;no
50;hombre;2;educacion superior;urbana;premium;446;1119;978;59;230;69;9;397;no;si
37;hombre;3;primaria;rural;basico;924;708;949;41;291;33;4;444;no;si
18;mujer;1;educacion superior;rural;medio;5;1185;644;21;286;23;5;303;no;si
79;mujer;6;educacion superior;rural;basico;423;1904;1024;18;7;11;1;7;no;no
68;hombre;6;secundaria;urbana;premium;845;470;565;37;61;78;6;115;no;si
64;hombre;4;educacion superior;rural;premium;621;84;1040;0;274;112;8;407;no;no
55;hombre;6;primaria;urbana;medio;917;445;1117;18;106;117;8;143;no;si
39;mujer;5;educacion superior;rural;basico;658;1043;376;12;25;14;0;323;si;no
58;hombre;5;primaria;rural;basico;961;1229;1301;27;232;49;9;435;no;no
47;hombre;4;primaria;rural;basico;538;512;422;44;143;9;8;229;no;si
54;hombre;4;primaria;urbana;basico;839;1914;105;41;197;29;6;405;no;no
29;hombre;2;secundaria;urbana;medio;277;1552;92;30;291;86;9;216;si;no
38;hombre;3;primaria;rural;medio;585;1695;1362;22;61;56;8;401;no;si
52;mujer;5;educacion superior;rural;basico;199;165;742;22;199;32;1;178;si;no
48;hombre;6;secundaria;urbana;premium;126;94;1091;7;110;32;1;364;no;no
32;hombre;6;primaria;rural;premium;451;1238;1261;15;116;34;8;346;no;si
17;hombre;2;secundaria;urbana;premium;140;1043;1192;10;101;97;2;280;si;no
42;hombre;2;educacion superior;urbana;medio;115;121;1477;12;188;51;10;310;no;no
28;mujer;5;secundaria;rural;basico;148;681;1032;58;123;22;6;74;no;no
76;hombre;2;primaria;urbana;premium;715;1240;1005;46;277;100;4;306;no;si
31;hombre;5;secundaria;rural;basico;186;496;1175;60;237;66;3;193;no;no
30;mujer;4;secundaria;urbana;basico;169;1133;495;17;287;12;5;150;no;no
59;mujer;1;secundaria;rural;medio;420;320;884;15;233;21;5;327;no;si
